#{"t_start": 1777875437.321235, "env_id": "None"}
r,l,t
-433.51672,23,1.46934
-263.36176,26,1.499347
-240.11143,28,1.531375
-265.23865,29,1.560886
-499.10452,39,1.597407
-436.96326,41,1.624923
-163.86407,43,1.655936
-310.61948,47,1.683948
-206.01619,21,1.730978
-170.42598,42,1.766006
-308.83502,39,1.766509
-252.8102,29,1.793527
-222.83528,22,1.83954
-156.45724,46,1.870052
-470.61124,60,1.901563
-545.55255,77,1.927075
-314.4522,73,1.959641
-551.6291,33,1.959641
-458.2149,38,1.993174
-188.17015,20,2.02719
-215.50876,36,2.075729
-202.43982,27,2.075729
-359.03876,24,2.10675
-505.6567,40,2.142261
-370.8944,78,2.170773
-387.0523,52,2.205285
-637.1494,45,2.239796
-432.25977,58,2.267807
-257.4957,29,2.301316
-203.76633,25,2.338326
-189.5683,44,2.37084
-323.76346,45,2.39785
-162.74606,30,2.443865
-189.5947,39,2.472377
-415.389,28,2.505901
-359.48007,57,2.537401
-211.62726,29,2.568417
-302.55295,45,2.599929
-158.83064,61,2.647958
-175.10435,26,2.685506
-322.77652,43,2.719541
-309.0072,37,2.755053
-326.97302,23,2.80408
-406.15488,59,2.83559
-792.18713,71,2.867603
-202.24327,51,2.902114
-398.3005,57,2.934627
-215.97421,22,2.98391
-239.28922,27,3.016764
-541.0257,58,3.054278
-371.13046,65,3.097794
-539.40717,92,3.129805
-242.66026,60,3.157313
-157.71156,30,3.188826
-322.21332,29,3.245346
-280.13,48,3.275879
-223.79446,39,3.309893
-433.79276,67,3.342921
-379.91556,41,3.371931
-214.75902,25,3.425459
-195.93,38,3.462973
-179.19086,31,3.496491
-460.17514,38,3.530503
-158.49554,39,3.566013
-322.37473,29,3.626544
-203.84758,43,3.626544
-398.3662,28,3.660053
-164.06161,42,3.689746
-336.01938,41,3.728843
-370.88306,25,3.764361
-394.27567,36,3.811434
-693.51715,139,3.840454
-211.51178,30,3.869459
-254.02998,21,3.919984
-495.45786,77,3.960495
-191.76991,46,4.000521
-432.0565,67,4.035309
-247.99547,29,4.065029
