#{"t_start": 1778794156.4562166, "env_id": "None"}
r,l,t
-315.47882,20,2.719929
-285.66333,26,2.759824
-333.3501,30,2.798875
-211.40672,34,2.835738
-167.30183,37,2.870591
-606.7223,39,2.912544
-310.50885,39,2.912544
-257.8403,34,2.958628
-417.35785,75,3.01497
-271.57138,24,3.049798
-358.46457,48,3.049798
-189.02881,45,3.080421
-404.99487,54,3.118433
-306.33942,43,3.155563
-174.7752,52,3.197518
-395.89417,60,3.235438
-259.2232,26,3.273225
-204.80122,35,3.315895
-219.04947,33,3.351604
-278.9998,37,3.387932
-266.16388,39,3.427612
-244.62984,18,3.465649
-225.0108,15,3.502416
-359.98645,42,3.53309
-229.57622,24,3.566893
-229.02011,52,3.613225
-568.2961,46,3.649082
-223.63547,76,3.690013
-510.50986,40,3.728944
-890.0534,40,3.77333
-288.641,36,3.77333
-205.46922,22,3.811379
-400.3388,48,3.859333
-423.45435,30,3.860352
-256.75677,25,3.892065
-312.43716,44,3.933906
-259.1681,24,3.963179
-379.2033,65,3.995522
-314.49194,19,4.031294
-292.6627,18,4.069148
-226.52914,20,4.109011
-506.38766,55,4.152092
-362.82892,57,4.194199
-331.30173,30,4.194199
-213.95744,43,4.232089
-229.14589,48,4.268838
-286.60428,27,4.308594
-222.48982,42,4.34881
-218.47453,26,4.386661
-334.62735,40,4.4342
-442.55554,38,4.4342
-375.08755,52,4.492496
-312.29367,38,4.527286
-275.66742,33,4.562093
-435.10004,57,4.602809
-226.8437,36,4.640686
-213.88892,38,4.673558
-222.8977,27,4.715687
-211.84879,27,4.7484
-581.2856,97,4.781139
-253.15749,33,4.813925
-859.38586,106,4.862862
-259.13446,37,4.902966
-367.71732,38,4.943138
-405.98306,28,4.976818
-312.68887,31,5.013672
-177.62839,40,5.044305
-614.83264,54,5.078604
-299.51047,20,5.110892
-189.15071,46,5.148702
-434.94998,33,5.188568
-288.30777,38,5.223401
-471.81427,37,5.266328
-201.2803,25,5.302188
-190.0781,32,5.344413
-193.60684,40,5.382278
-211.0961,41,5.419111
-223.15318,25,5.456051
-465.6083,46,5.505074
-446.36676,37,5.547018
-233.48941,30,5.593095
-355.3764,45,5.63868
-225.27414,66,5.63868
-907.31744,43,5.672884
-299.74704,64,5.717755
-533.85364,58,5.749354
-233.32101,43,5.7841
-228.61035,25,5.827021
-234.3022,32,5.864892
-491.87576,51,5.919074
-239.39798,21,5.955064
-221.92484,38,5.955064
-494.1173,62,5.988233
-174.16577,36,6.028132
-271.14352,48,6.060941
-641.9388,84,6.089526
-453.97214,54,6.122128
-268.889,20,6.165387
-244.93317,22,6.220641
-228.47641,33,6.258897
-381.63727,33,6.290524
-504.3756,51,6.327303
-510.35077,52,6.370178
-544.7817,65,6.407293
-426.50867,36,6.454504
-371.3824,65,6.489197
-307.84482,31,6.522946
-218.20953,37,6.557694
-442.7206,52,6.604637
-402.14038,41,6.649622
-202.75993,35,6.697678
-214.99976,37,6.697678
-285.1836,44,6.739497
-254.27596,24,6.739497
-358.45807,45,6.778322
-255.26749,38,6.833108
-175.03421,35,6.882267
-210.98402,32,6.882267
-287.11676,37,6.915008
-402.8198,54,6.960254
