#{"t_start": 1777878463.0504386, "env_id": "None"}
r,l,t
-220.95036,17,1.44327
-292.21558,20,1.475284
-191.42867,26,1.510291
-198.42032,22,1.558821
-218.19339,47,1.598842
-789.9353,52,1.631358
-157.2482,27,1.65891
-394.0322,56,1.695411
-243.34738,26,1.735921
-297.65927,67,1.767685
-504.76495,74,1.802192
-194.18846,56,1.834704
-393.82755,24,1.863712
-293.50412,37,1.902735
-350.93127,45,1.949763
-249.61281,32,1.986804
-525.4612,36,2.024315
-406.4057,46,2.060833
-188.8245,30,2.102508
-246.57477,72,2.13054
-173.57358,45,2.165099
-319.57523,80,2.200114
-200.24739,33,2.240131
-643.3355,113,2.285647
-569.5721,23,2.311651
-193.81389,19,2.345165
-467.43625,64,2.379177
-421.49332,47,2.417189
-324.43863,22,2.449213
-653.8401,56,2.477238
-469.6067,58,2.506254
-1291.1898,123,2.554771
-469.58047,43,2.590601
-322.5641,25,2.623617
-438.42926,67,2.701213
-397.10175,50,2.701213
-341.06018,46,2.748738
-525.1054,41,2.787754
-400.1631,47,2.818778
-618.42883,96,2.864143
-336.68274,19,2.91117
-285.64514,88,2.946674
-381.15857,42,2.9802
-198.58154,45,3.013202
-472.36227,103,3.05222
-173.21332,34,3.05222
-237.31216,42,3.091851
-344.63867,19,3.139411
-287.0153,20,3.190951
-382.96335,28,3.242474
-316.60535,37,3.242474
-174.81813,35,3.276504
-387.3818,28,3.306679
-353.69855,76,3.370196
-287.15082,23,3.370196
-187.40378,18,3.370196
-506.38614,64,3.415715
-207.088,31,3.455544
-487.52856,81,3.486564
-402.1636,37,3.517079
-322.4558,52,3.548589
-229.51932,18,3.589102
-180.57486,21,3.630124
-154.48413,41,3.670655
-229.20549,38,3.719178
-231.78624,32,3.719178
-356.36713,51,3.75573
-337.97745,56,3.789737
-396.44708,20,3.836759
-261.83868,22,3.873767
-428.5554,43,3.913309
-524.49365,31,3.955319
-389.16382,18,3.986343
-146.82413,40,4.020353
-648.59045,77,4.020353
-222.63612,26,4.071376
-492.58997,84,4.113391
-203.5514,36,4.113391
-476.02448,23,4.148419
-194.44255,26,4.180929
-295.41522,85,4.219947
-253.1575,28,4.26548
-153.72758,51,4.299998
-184.11182,29,4.331012
-507.59946,50,4.375029
-269.1741,18,4.402035
-227.53725,31,4.431299
-594.10284,71,4.45931
-478.72202,47,4.493325
-212.6583,26,4.526343
-154.03806,64,4.560362
-172.44548,19,4.610901
-364.96826,35,4.64242
-412.21072,44,4.682938
-311.08112,48,4.717462
-276.95447,51,4.75048
-140.65771,69,4.783519
-422.69394,42,4.816035
-228.94827,27,4.87406
-473.17548,36,4.87406
-566.09644,68,4.912086
-252.67809,38,4.912086
-813.97833,37,4.963612
-177.12288,35,4.963612
-204.6886,18,4.998623
-192.32205,37,5.031636
-311.01202,40,5.059148
-202.12698,26,5.101672
-273.0188,19,5.144708
-345.63846,34,5.186225
-504.6927,32,5.225253
-416.19135,53,5.256773
-200.72499,40,5.297785
-208.44144,31,5.346321
-303.2887,18,5.388341
-322.30356,74,5.416875
-406.59692,70,5.455389
-304.9284,44,5.492904
-366.58057,65,5.527484
-347.50555,21,5.56251
-141.89116,33,5.618539
-148.61606,61,5.651546
-304.45868,35,5.685571
-160.22017,25,5.71809
-267.44153,31,5.748109
-227.86182,22,5.803632
-357.9182,78,5.846158
-353.64877,41,5.883171
-347.38297,36,5.883171
-279.27228,45,5.914696
-271.86096,35,5.94071
-194.7684,18,5.983236
-320.91318,36,6.024752
-1076.7507,138,6.060266
-380.7809,48,6.100377
-138.14305,53,6.129889
-397.88828,68,6.161906
-154.05249,60,6.195468
-261.3381,30,6.237994
-562.4517,48,6.237994
-1028.1085,128,6.268508
-299.11768,16,6.312025
-193.63708,53,6.312025
-277.24567,34,6.355049
-258.97714,43,6.386062
-323.90848,49,6.413574
-184.42284,39,6.449587
-379.45953,27,6.496223
-185.8241,68,6.496223
-310.04425,42,6.535245
-229.57655,27,6.535245
-180.72092,47,6.568255
-328.98978,34,6.603799
-288.8556,28,6.634316
-193.7818,30,6.675832
-362.5656,30,6.707349
-229.9656,27,6.738861
-217.23213,31,6.775868
-165.79895,41,6.806378
-232.06018,49,6.840892
-613.6807,108,6.882417
-375.83575,51,6.91193
-368.41556,45,6.966594
-299.2661,42,6.998111
-244.82912,41,7.031619
-403.71027,62,7.069144
-162.80656,76,7.108161
-143.22829,48,7.134174
-420.4785,51,7.168187
-418.42935,18,7.212202
-231.63756,40,7.244248
-435.7546,81,7.274257
-206.65573,24,7.304772
-441.54846,55,7.346787
-202.04463,22,7.383801
-271.73148,32,7.415364
-348.031,64,7.445375
-355.48163,36,7.471884
-387.72696,47,7.51091
-345.33826,18,7.51141
-411.79022,62,7.539378
-202.13173,31,7.586557
-377.70828,58,7.627575
-463.50125,45,7.655578
-423.12173,57,7.69512
-419.90796,23,7.728139
-377.51892,47,7.760658
-544.5073,136,7.795694
-162.89493,57,7.826224
-411.4109,55,7.856231
-452.26218,20,7.886744
-274.22144,35,7.919975
-309.59473,24,7.960823
-364.15738,17,7.990837
-279.91217,37,8.020846
-203.64526,33,8.058857
-344.68002,43,8.058857
-334.51797,21,8.093876
-207.6866,34,8.143913
-531.41223,72,8.187932
-439.2243,46,8.236339
-713.9471,113,8.268849
-397.9204,78,8.30587
-240.11607,39,8.345383
-220.12456,56,8.375391
-268.37073,32,8.40441
-556.4776,91,8.433921
-257.6512,20,8.472442
-224.71898,19,8.500447
-191.89171,50,8.535461
-827.3254,50,8.571968
-588.102,119,8.602482
-313.58008,37,8.639487
-191.19202,33,8.673016
-298.2353,39,8.716537
-406.09818,65,8.74905
-421.07004,34,8.775065
-365.03958,24,8.804573
-175.62332,39,8.83409
-143.05197,35,8.866111
-559.14825,74,8.911216
-282.81787,30,8.951232
-391.97015,30,8.982749
-194.69754,25,9.01376
-260.84082,35,9.045271
-448.9658,43,9.076294
-447.11923,49,9.107307
-376.5437,23,9.13683
-212.14482,30,9.194865
-466.0393,48,9.221875
-373.26663,35,9.248381
-650.67584,50,9.288394
-231.11267,64,9.322407
-394.78088,70,9.357419
-367.76532,43,9.402939
-303.8811,41,9.431455
-301.0464,33,9.46247
-346.3541,25,9.493977
-765.1381,105,9.538994
-672.4706,85,9.585508
-333.33472,49,9.617026
-390.9544,43,9.651045
-217.54544,49,9.685062
-221.50595,54,9.685062
-240.15556,39,9.727592
-322.61624,23,9.758106
-311.16467,43,9.810119
-208.61365,30,9.845646
-149.45296,44,9.872649
-180.67914,34,9.908675
-346.4425,21,9.953192
-509.04907,63,9.978795
-444.78534,30,10.013403
-277.9184,35,10.056917
-770.99384,77,10.056917
-734.2665,164,10.096457
-214.9308,31,10.129971
-489.5943,43,10.166991
-343.5248,55,10.206011
-229.68726,29,10.234515
-366.3592,50,10.274148
-192.1519,22,10.301657
-593.3658,87,10.333186
-283.74908,18,10.373197
-651.9408,53,10.40421
-173.197,39,10.452751
-314.58597,46,10.483761
-741.2531,101,10.516778
-191.1727,61,10.544284
-463.8701,30,10.575812
-596.8263,66,10.608815
-211.56427,17,10.647333
-296.7615,45,10.675838
-179.2981,22,10.711879
-199.69077,28,10.755905
-493.076,32,10.786916
-357.5011,26,10.823439
-295.67554,30,10.854455
-356.04352,41,10.887479
-173.2658,40,10.917978
-165.1516,32,10.953048
-8815.597,575,10.953547
-332.27325,22,10.991585
-198.25732,21,11.021092
-272.46896,23,11.055108
-190.69382,32,11.088145
-241.87585,20,11.121148
-634.5118,62,11.157175
-477.55988,39,11.190802
-225.03394,29,11.226312
-487.54205,63,11.257329
-158.51321,44,11.290835
-247.6872,19,11.325853
-200.8143,96,11.359867
-146.68663,47,11.400387
-352.7692,20,11.446912
-335.0123,38,11.476422
-550.6197,58,11.507433
-227.74937,69,11.54245
-281.26025,67,11.574456
-137.99707,64,11.601466
-223.77592,35,11.650985
-648.2011,118,11.678
-306.4511,27,11.704011
-1096.8872,49,11.741024
-159.7197,53,11.769536
-133.15097,49,11.816126
-214.13074,34,11.850136
-291.18372,54,11.883659
-353.03192,42,11.922667
-460.42264,47,11.956186
-267.67877,35,11.986707
-460.09778,40,12.020716
-389.68692,18,12.049724
-198.09164,23,12.079756
-239.01562,17,12.119276
-192.47636,29,12.147295
-288.1029,44,12.196816
-244.63266,47,12.227334
-171.5372,41,12.255848
-459.01984,74,12.289364
-218.7034,50,12.322907
-291.85077,21,12.35742
-448.44574,47,12.384427
-343.8179,20,12.42644
-520.9428,67,12.465456
-260.91855,49,12.465456
-422.08932,44,12.465456
-383.94223,34,12.509469
-455.36807,57,12.545985
-337.30798,58,12.576998
-214.19267,29,12.61251
-339.66565,33,12.652019
-325.50983,33,12.652019
-186.5249,40,12.684034
-214.24178,21,12.71654
-237.56204,20,12.755056
-296.88644,22,12.79007
-269.13995,26,12.823678
-169.09798,47,12.823678
-159.40314,35,12.855183
-664.5184,36,12.888196
-328.51797,23,12.925216
-582.5647,22,12.95723
-352.7741,30,12.992641
-298.77325,28,13.024329
-284.85727,33,13.052382
-449.7342,53,19.183888
-286.7213,37,19.183888
-145.04897,29,19.226417
-284.61008,21,19.255439
-230.66664,25,19.291449
-262.21176,36,19.330962
-325.30743,37,19.35647
-337.25708,42,19.389985
-450.04202,61,19.422024
-176.79207,39,19.464539
-213.00165,22,19.502058
-184.89325,27,19.539073
-264.53738,51,19.577085
-210.75047,43,19.614215
-115.20714,46,19.64226
-200.8406,35,19.685273
-370.4954,47,19.715284
-253.9404,39,19.754301
-341.10876,98,19.791315
-172.28992,33,19.817826
-260.94937,48,19.866838
-177.87393,29,19.900861
-197.71469,42,19.932361
-241.21571,32,19.962882
-182.09169,42,20.004406
-705.50006,60,20.031422
-217.33582,29,20.071447
-278.16495,30,20.10746
-269.7206,100,20.137973
-255.69806,32,20.180985
-218.32352,61,20.2135
-192.61142,36,20.256526
-276.36337,59,20.30353
-417.25668,76,20.341547
-286.22516,41,20.341547
-185.94511,62,20.390565
-523.92523,78,20.425079
-235.4132,36,20.477157
-207.28856,38,20.505666
-403.30637,72,20.54468
-245.917,38,20.5787
-235.92097,46,20.616717
-192.94373,32,20.64324
-230.02385,78,20.673754
-244.56975,19,20.708279
-527.20355,39,20.744806
-361.0479,30,20.744806
-9458.776,705,20.788964
-177.9707,17,20.788964
-240.36005,35,20.838981
-195.11401,42,20.886003
-481.29672,49,20.939023
-248.6801,50,20.965553
-272.43314,63,20.994072
-318.8682,62,21.02408
-160.03084,72,21.062596
-222.26859,40,21.099083
-318.34695,51,21.099083
-285.8241,26,21.141621
-190.2972,25,21.14212
-308.29047,24,21.169478
-333.39896,28,21.219254
-259.74152,30,21.255776
-165.41628,43,21.292292
-234.103,53,21.337814
-269.62555,27,21.378336
-206.14565,43,21.40534
-452.37076,97,21.442399
-358.0964,91,21.47541
-410.4047,43,21.522424
-528.642,67,21.552937
-334.5467,40,21.585945
-152.55936,30,21.621462
-463.83395,54,21.657979
-302.72083,51,21.690999
-919.3322,124,21.720005
-141.12471,36,21.751018
-198.80699,19,21.788033
-245.21588,34,21.817544
-201.19716,39,21.860058
-161.22577,64,21.892075
-334.18198,37,21.925087
-197.98203,28,21.954602
-158.67813,74,21.985631
-353.89893,50,22.011118
-258.34262,20,22.058027
-187.2996,46,22.089048
-471.2699,25,22.135595
-254.42409,40,22.176608
-164.3491,30,22.217635
-153.26228,40,22.258674
-164.01263,90,22.308194
-299.37976,43,22.348723
-133.67781,104,22.388237
-238.4686,89,22.414244
-194.61989,38,22.443256
-226.7124,16,22.489289
-550.67035,67,22.520296
-178.43689,49,22.559433
-203.5012,43,22.591466
-153.79858,39,22.627983
-227.13788,22,22.661492
-281.0132,29,22.706503
-250.57278,34,22.737513
-210.65489,26,22.795532
-161.15219,52,22.831546
-155.01968,46,22.87456
-142.60889,90,22.90108
-598.0577,182,22.935087
-218.7405,35,22.97412
-209.20306,41,23.003137
-184.9711,29,23.035145
-529.94476,99,23.068657
-222.75047,37,23.101668
-227.9791,18,23.134683
-180.55893,25,23.190713
-142.44003,47,23.222724
-335.31964,47,23.260242
-297.1623,44,23.29625
-314.098,56,23.32976
-311.91718,23,23.371805
-364.20047,34,23.406812
-195.06374,26,23.441819
-228.94972,22,23.473829
-180.63824,30,23.508838
-225.84784,22,23.548351
-241.65816,27,23.588871
-336.61578,48,23.627883
-190.5547,37,23.665849
-188.78088,32,23.701382
-195.77187,53,23.739903
-233.35773,41,23.778925
-368.13013,38,23.823444
-243.57625,29,23.869473
-1954.0427,207,23.916494
-255.8738,84,23.959009
-194.60307,27,23.992528
-289.0254,78,24.022037
-358.19556,49,24.053546
-233.54129,22,24.101601
-140.61859,28,24.14011
-250.28891,35,24.169636
-693.5299,102,24.201659
-161.99542,61,24.25019
-258.14835,42,24.304229
-322.18823,29,24.340753
-216.4978,51,24.370767
-479.18698,62,24.417801
-132.93094,89,24.449319
-262.85718,35,24.50034
-340.4825,95,24.534868
-230.7159,22,24.56738
-208.42455,25,24.595918
-177.70822,40,24.629942
-201.60924,54,24.669464
-238.11723,31,24.722987
-194.66812,44,24.774501
-197.69315,44,24.814035
-302.38223,33,24.857054
-197.5149,26,24.904577
-258.3189,77,24.943237
-492.40555,78,24.943237
-508.62244,77,24.980786
-223.11205,38,25.02581
-174.67769,55,25.02631
-257.83942,35,25.063976
-208.23096,24,25.093487
-219.29384,35,25.121629
-223.9419,40,25.158541
-363.20035,38,25.204313
-177.13623,20,25.23432
-179.15094,33,25.272833
-386.8979,42,25.303342
-188.8239,35,25.357858
-368.86575,39,25.399375
-431.90433,77,25.428905
-194.4517,40,25.460422
-278.0928,24,25.500441
-165.77478,62,25.500441
-570.79553,112,25.542959
-388.78622,46,25.597986
-349.83737,51,25.634496
-218.6552,16,25.677015
-393.28317,55,25.711028
-184.77919,64,25.748044
-253.8611,56,25.778554
-224.92055,36,25.818568
-178.211,30,25.87158
-237.54236,32,25.906593
-187.0689,46,25.933602
-275.3303,27,25.963616
-214.91516,18,26.010138
-214.06435,30,26.050154
-110.49028,86,26.091118
-233.19586,46,26.132822
-172.9405,48,26.165344
-775.8753,161,26.194855
-142.86221,38,26.224365
-229.94173,22,26.258875
-303.81802,28,26.31239
-207.42163,40,26.350415
-216.63472,35,26.350415
-181.9611,71,26.388931
-260.7532,27,26.433953
-189.15605,25,26.467967
-201.26077,67,26.509991
-181.78346,42,26.554003
-349.08707,50,26.554003
-250.37794,34,26.586013
-393.12732,32,26.614529
-313.53302,21,26.646574
-202.12903,35,26.711133
-341.76196,30,26.744144
-447.28067,38,26.772661
-10756.435,930,26.803203
-189.41731,40,26.842721
-247.76437,21,26.889749
-247.95738,31,26.922771
-179.0039,25,26.958285
-184.5035,50,27.005329
-486.40466,80,27.038337
-147.84744,36,27.071856
-524.389,70,27.108868
-390.5568,47,27.143882
-374.2968,55,27.177397
-161.37337,39,27.209399
-127.139206,31,27.23841
-136.10252,41,27.273427
-160.94235,30,27.308439
-475.29016,32,27.351455
-294.22034,26,27.383471
-161.55618,31,27.41399
-442.20972,40,27.453999
-127.4219,51,27.48351
-244.30296,18,27.516025
-341.4519,38,27.545534
-223.07365,22,27.575044
-306.7902,45,27.619557
-256.81836,32,27.65808
-186.33014,38,27.694597
-286.24158,53,27.740112
-258.27225,66,27.778628
-170.24242,54,27.816647
-193.14505,52,27.851666
-222.66019,29,27.887189
-422.6284,47,27.887189
-164.51392,46,27.947208
-174.47987,35,27.983258
-357.01205,46,28.014473
-258.87613,49,28.054206
-274.2626,61,28.087716
-172.00838,34,28.131592
-124.5791,57,28.173777
-178.80208,30,28.218294
