#{"t_start": 1778795877.6988792, "env_id": "None"}
r,l,t
-332.67612,20,2.396026
-476.5293,20,2.396026
-276.2137,28,2.439277
-213.30034,28,2.439277
-203.49797,38,2.479217
-398.36536,40,2.509987
-175.19154,26,2.545632
-246.65176,24,2.58366
-185.3229,60,2.624796
-224.05246,24,2.660844
-289.45016,30,2.703853
-259.03647,42,2.703853
-642.29504,53,2.733594
-445.1206,26,2.781822
-219.32777,30,2.814903
-180.25418,44,2.850904
-608.20667,97,2.882226
-407.15247,55,2.914263
-583.3681,40,2.954726
-364.71573,48,2.990551
-251.69122,36,3.025429
-346.6608,37,3.054111
-284.35324,41,3.090073
-214.25772,38,3.131131
-987.3945,76,3.158796
-515.3501,63,3.200943
-292.77682,36,3.200943
-268.3787,36,3.229607
-294.94556,30,3.261261
-441.52988,67,3.292905
-220.1618,27,3.342291
-451.379,69,3.343336
-196.99791,33,3.375174
-216.45132,56,3.412027
-301.06818,50,3.451955
-179.16263,51,3.47967
-386.26828,71,3.505144
-285.9021,40,3.544075
-681.3221,73,3.573821
-199.99855,35,3.622511
-280.05154,35,3.650646
-343.37006,57,3.68771
-876.95996,88,3.728739
-641.098,29,3.763528
-402.23688,76,3.798158
-570.16876,26,3.842231
-445.13425,53,3.877818
-546.85583,67,3.913628
-187.90321,90,3.945428
-208.18015,38,3.974995
-265.95578,27,4.009331
-298.53833,67,4.041243
-163.37398,36,4.069996
-236.32018,27,4.102112
-276.8973,23,4.145671
-694.4425,132,4.174679
-207.69688,28,4.212833
-275.7956,39,4.242686
-199.16998,57,4.27122
-212.5011,25,4.317107
-225.0997,20,4.345695
-239.77206,23,4.372257
-190.49422,50,4.411579
-270.05276,18,4.462953
-582.9073,87,4.462953
-400.11707,37,4.499038
-474.4,74,4.499038
-311.79327,39,4.527634
-250.46591,48,4.564481
-328.84912,21,4.602543
-417.43655,34,4.646621
-256.39633,42,4.678437
-329.0466,50,4.714348
-261.05362,27,4.749472
-280.63144,37,4.778641
-236.20184,32,4.821716
-387.76495,67,4.850203
-291.4367,30,4.887083
-433.1391,47,4.916761
-451.44025,39,4.950471
-230.98483,30,4.991494
-235.9145,42,5.026788
-325.93573,33,5.056461
-252.78197,78,5.095565
-303.87076,32,5.095565
-228.78442,44,5.128692
-285.99316,36,5.176753
-198.39218,34,5.21159
-465.4815,58,5.246464
-201.10036,37,5.246464
-453.38876,59,5.281188
-228.31357,51,5.318186
-228.99263,27,5.34883
-161.9445,27,5.391818
-261.3606,49,5.419503
-452.48962,66,5.476953
-263.22702,67,5.507803
-143.27249,35,5.54083
-334.0965,60,5.576685
-235.04532,50,5.613623
-202.33905,24,5.648381
-241.73093,22,5.677006
-511.77872,78,5.714174
-281.32364,19,5.746974
-568.7966,31,5.775767
-227.15147,31,5.815853
-353.7717,27,5.857009
-427.86212,38,5.893378
-375.0413,19,5.932306
-497.43948,92,5.960377
-439.06744,28,6.012353
-419.64362,49,6.012353
-537.13416,82,6.012353
-291.05774,31,6.057861
-366.7118,44,6.100831
-317.65643,35,6.133679
-194.8546,33,6.172557
-449.19525,62,6.21453
-288.96494,44,6.264225
-745.88776,163,6.308218
-191.7182,32,6.336971
-481.77277,70,6.367654
-413.08862,40,6.418991
-207.70961,20,6.418991
-173.68658,37,6.462493
-526.4209,101,6.509443
-426.9752,65,6.545475
-244.51779,40,6.575416
-231.64693,16,6.60835
-209.08768,57,6.654693
-720.77094,58,6.732265
-240.2197,55,6.762331
-456.99866,89,6.790924
-444.7565,57,6.8308
-236.61343,28,6.870803
-189.26282,43,6.907969
-218.99948,44,6.942148
-248.2353,35,6.972869
-217.92773,24,7.012992
-651.7019,139,7.055068
-217.26727,19,7.083812
-379.2211,44,7.116981
-324.2847,48,7.150841
-332.6447,21,7.189819
-309.70728,36,7.223933
-1211.2393,97,7.260815
-224.04259,34,7.291518
-243.72028,39,7.342657
-676.3499,83,7.385715
-302.61914,41,7.418508
-252.59834,64,7.451272
-183.04422,43,7.49236
-231.54063,18,7.524415
-615.36414,78,7.558294
-213.55159,33,7.589023
-176.92786,35,7.641256
-164.20972,33,7.669938
-446.5342,31,7.699677
-8271.699,899,7.732324
-731.06805,86,7.767079
-389.09265,51,7.797781
-310.50937,38,7.846162
-437.0946,43,7.880098
-411.27118,46,7.880098
-321.52863,49,7.930166
-230.34058,36,7.957817
-619.9171,49,7.992752
-248.48878,29,8.021539
-271.20807,32,8.050427
-222.62155,19,8.083235
-363.16245,26,8.114006
-275.64542,21,8.150921
-512.0881,44,8.198404
-178.71553,35,8.228076
-514.648,59,8.266972
-202.3944,48,8.297788
-664.5004,103,8.340778
-357.32834,34,8.371701
-229.14786,27,8.409495
-460.16003,69,8.439188
-544.88635,42,8.471015
-618.8902,69,8.510956
-992.071,47,8.546751
-299.98102,38,8.584585
-333.12857,43,8.6269
-691.7535,62,8.66293
-369.4534,84,8.70239
-327.2425,43,8.733485
-531.2686,72,8.785573
-362.58032,22,8.785573
-168.9652,41,8.823322
-416.23264,50,8.823322
-642.91583,45,8.867415
-419.69913,24,8.904401
-236.642,48,8.945541
-541.71954,108,8.982399
-218.91267,27,9.016385
-410.90872,72,9.062512
-553.38257,68,9.094888
-488.6851,52,9.124697
-272.25592,25,9.156503
-188.79732,37,9.188478
-190.58748,26,9.232641
-216.65837,35,9.267462
-210.09618,32,9.305431
-623.12006,38,9.33629
-408.84915,53,9.379981
-281.29477,23,9.379981
-155.02129,33,9.414838
-573.37897,59,9.501964
-586.9458,59,9.501964
-526.8033,72,9.530588
-901.36597,134,9.55917
-612.2778,62,9.590927
-247.5434,20,9.630003
-182.06621,33,9.677195
-243.57648,38,9.723727
-241.10677,46,9.754354
-400.69955,50,9.792572
-176.47743,35,9.834733
-512.8516,50,9.865505
-887.15717,153,9.906796
-398.2291,35,9.941559
-162.25972,28,9.993973
-454.20264,64,10.020584
-480.81976,67,10.051295
-364.71527,36,10.091544
-211.62976,20,10.12433
-413.98932,62,10.155286
-857.14343,83,10.203378
-165.37418,43,10.230628
-266.83716,27,10.260308
-308.38724,35,10.289995
-220.27046,19,10.325963
-384.08267,35,10.374394
-436.07712,34,10.411546
-379.00244,40,10.439363
-240.5453,71,10.476748
-262.41235,89,10.478256
-296.3304,20,10.509072
-221.56406,18,10.544982
-464.67502,48,10.574766
-328.9216,21,10.607572
-244.16171,25,10.649751
-180.96849,35,10.698078
-171.936,74,10.747355
-451.74747,84,10.77351
-345.82498,71,10.814107
-157.20805,31,10.839768
-407.96423,60,10.875934
-445.74728,48,10.930525
-277.05658,39,10.963303
-591.9593,38,10.963303
-242.65594,30,10.989436
-681.8827,124,11.020095
-298.92908,22,11.066118
-248.6865,26,11.096954
-661.5148,84,11.133775
-421.01007,37,11.164494
-212.23781,42,11.198548
-565.2228,50,11.228278
-219.75734,32,17.351246
-203.21588,31,17.392298
-373.39804,45,17.438467
-418.33466,41,17.475378
-439.6127,75,17.509388
-486.39453,105,17.555027
-260.94656,26,17.589042
-202.57141,48,17.63117
-294.60254,37,17.664034
-310.6153,31,17.7072
-608.3835,106,17.754313
-304.59842,58,17.78247
-373.72025,56,17.851549
-272.1701,79,17.891543
-13932.888,1486,17.962159
-459.58688,121,17.962159
-468.65408,52,17.99561
-436.3367,47,18.025167
-645.53766,95,18.052321
-367.75464,40,18.109059
-269.70813,19,18.156593
-666.0045,150,18.198048
-433.74292,71,18.233614
-298.89825,84,18.284733
-241.7037,45,18.321241
-244.79494,19,18.360139
-219.96693,38,18.387153
-509.2581,118,18.43127
-189.38057,38,18.472352
-223.02638,30,18.502588
-242.55695,37,18.540125
-553.39526,96,18.585247
-282.396,33,18.623304
-427.665,47,18.653503
-437.96838,41,18.697139
-2073.9146,204,18.734037
-682.1885,47,18.770235
-361.2858,19,18.806137
-397.62015,52,18.836299
-357.5526,53,18.869191
-191.08061,93,18.902503
-671.00146,63,18.951328
-285.8648,33,18.984716
-197.75186,37,19.024437
-416.49142,55,19.059402
-455.28436,28,19.098266
-172.90292,47,19.098266
-230.40134,26,19.134104
-455.6549,84,19.169054
-367.86407,39,19.196163
-314.7238,17,19.226948
-313.3375,38,19.274364
-407.53085,34,19.304966
-362.2267,58,19.340811
-225.88596,43,19.37369
-461.7618,34,19.420761
-171.81763,29,19.452324
-552.86005,64,19.4907
-200.19171,33,19.520531
-214.49908,31,19.552197
-478.54977,83,19.59008
-199.60406,32,19.625018
-212.795,25,19.66105
-236.78212,42,19.693986
-241.36469,38,19.727855
-403.93774,28,19.758692
-234.35944,31,19.797728
-270.46173,23,19.797728
-466.69122,61,19.833644
-316.59167,41,19.884796
-278.652,33,19.922348
-351.63953,58,19.957195
-276.95712,48,19.957195
-497.24744,52,20.00668
-28110.365,2568,20.057843
-271.15662,47,20.091383
-427.5298,59,20.122196
-328.76038,30,20.153906
-234.66296,53,20.18472
-222.05975,28,20.245434
-411.55954,45,20.277217
-682.7252,97,20.309301
-182.36853,44,20.337287
-251.86784,16,20.371533
-960.18317,146,20.426872
-280.17844,71,20.468965
-212.87685,41,20.522701
-332.44434,18,20.522701
-843.0505,94,20.551489
-443.99246,37,20.582263
-381.81613,54,20.610071
-200.65535,25,20.656211
-755.6705,70,20.687107
-348.12488,28,20.724665
-197.29565,37,20.759579
-393.19815,93,20.794685
-207.12204,26,20.842577
-472.8726,32,20.843075
-358.97156,50,20.873966
-259.8588,34,20.92131
-506.10318,40,20.9501
-309.56082,56,20.983406
-293.39325,27,21.010533
-183.52727,28,21.038161
-295.86145,86,21.072654
-353.53085,30,21.121517
-339.13916,40,21.150266
-449.70984,60,21.188526
-428.75165,34,21.188526
-137.68839,41,21.218203
-398.72464,59,21.27286
-172.43289,59,21.309845
-342.67355,43,21.344659
-332.62512,43,21.378426
-316.50198,48,21.409123
-209.20323,24,21.443522
-247.69608,39,21.494118
-512.6433,78,21.524868
-299.85385,49,21.565956
-308.23383,51,21.60847
-385.74197,58,21.60847
-351.72452,57,21.650924
-205.0094,39,21.682854
-261.32907,26,21.713417
-444.2105,52,21.756469
-527.14264,47,21.798478
-249.52711,60,21.840641
-444.79016,52,21.87138
-293.58038,42,21.911647
-586.248,63,21.948707
-232.92941,23,21.980516
-445.25702,48,22.018465
-402.77417,22,22.047136
-264.253,26,22.086404
-539.3792,49,22.110967
-207.78561,28,22.157146
-319.68488,34,22.190502
-303.38235,48,22.225458
-454.16782,34,22.26333
-207.54326,40,22.300272
-278.86942,20,22.353028
-279.4224,60,22.396011
-408.64044,67,22.436109
-452.4451,69,22.479096
-560.70605,81,22.508879
-365.48758,35,22.53968
-219.56279,25,22.568318
-532.63196,32,22.618559
-304.586,27,22.651387
-411.53973,89,22.691432
-169.92596,39,22.691432
-614.25696,44,22.766161
-187.82152,71,22.804155
-625.38666,111,22.84417
-845.62695,90,22.888035
-525.76874,56,22.938029
-267.97565,19,22.988092
-376.6129,65,23.015783
-237.66696,43,23.04445
-200.4646,70,23.090441
-3391.7146,392,23.128407
-250.78737,40,23.172842
-240.18,50,23.208346
-908.8301,171,23.241378
-404.67184,82,23.307245
-376.44705,71,23.340508
-207.81543,44,23.373716
-373.07068,64,23.415424
-800.7429,96,23.460532
-423.70276,20,23.48858
-436.24924,44,23.522448
-219.07204,39,23.549607
-381.54987,75,23.609056
-415.80545,41,23.637764
-298.74332,36,23.666358
-495.9972,67,23.723513
-549.40564,25,23.723513
-459.09055,46,23.767084
-509.18048,52,23.806074
-244.61688,34,23.835754
-672.41327,100,23.868462
-351.65295,45,23.925155
-511.75937,38,23.953839
-1949.0847,216,23.994847
-469.45724,47,24.023585
-437.24738,49,24.05633
-483.40738,24,24.100207
-224.83263,39,24.151162
-218.02281,26,24.184034
-502.20663,73,24.224174
-369.97534,66,24.252805
-283.19626,17,24.285596
-284.45908,59,24.354284
-645.3923,124,24.387144
-170.8694,52,24.419961
-415.53104,57,24.463519
-209.60187,37,24.510307
-194.55048,43,24.544025
-405.41327,49,24.584113
-280.031,40,24.638461
-496.18646,59,24.638461
-596.03906,144,24.687784
-212.66098,32,24.724508
-148.85306,60,24.756088
-656.2321,75,24.791334
-253.48811,39,24.791334
-258.82227,40,24.84432
-462.49603,51,24.896755
-263.17343,34,24.935668
-486.76175,58,24.96209
-298.9177,26,25.006185
-412.07117,76,25.037853
-273.76544,23,25.073611
-224.08899,37,25.113508
-400.34204,40,25.162382
-312.80634,34,25.203911
-815.8509,135,25.236722
-187.35141,33,25.276675
-409.82263,73,25.307696
-199.18852,37,31.272811
-178.16441,27,31.305608
-225.09921,31,31.357903
-182.98004,29,31.394903
-419.81146,67,31.439842
-164.0078,46,31.497562
-209.64645,49,31.536525
-292.36868,23,31.586718
-27151.916,2237,31.661757
-166.04988,82,31.702581
-604.9819,75,31.758455
-277.57483,44,31.807541
-485.0252,63,31.841184
-210.17908,28,31.891536
-341.2952,54,31.930005
-210.38623,68,32.033749
-728.5596,79,32.063441
-339.78174,29,32.117661
-651.34454,142,32.164058
-316.60645,44,32.195004
-4027.9497,391,32.226873
-221.06696,22,32.269947
-254.61023,36,32.319026
-14790.394,1538,32.348722
-203.62114,27,32.380527
-166.28503,26,32.440435
-556.1958,41,32.483408
-497.45868,52,32.523314
-672.9083,136,32.576586
-290.26758,43,32.614938
-192.4489,40,32.650732
-214.37,30,32.69691
-163.69406,26,32.732748
-499.9332,104,32.783052
-508.33716,46,32.83228
-221.25096,82,32.877615
-230.69461,56,32.922992
-453.6842,100,32.961936
-494.94485,75,33.018373
-171.16428,33,33.049078
-363.23984,79,33.091173
-580.3454,80,33.136399
-154.83142,47,33.178405
-6860.71,787,33.220306
-356.36276,31,33.253428
-566.8397,68,33.283658
-383.143,55,33.314296
-206.19658,40,33.353547
-245.73363,31,33.401785
-409.29446,57,33.448002
-221.27026,20,33.482982
-205.11337,49,33.527012
-433.89722,62,33.555712
-220.68791,21,33.587663
-621.0685,84,33.629652
-270.65128,29,33.629652
-537.73047,61,33.706485
-201.7787,44,33.706485
-365.57047,62,33.734343
-284.23282,55,33.77262
-385.42776,17,33.804352
-465.58105,94,33.85077
-279.4233,40,33.88049
-178.5436,35,33.914099
-182.81395,51,33.952591
-225.93192,36,33.952591
-342.7433,29,34.003416
-166.55806,36,34.031027
-416.17218,48,34.067934
-436.4862,48,34.115269
-155.93483,43,34.164557
-300.9758,68,34.19527
-229.30045,29,34.254942
-291.4647,48,34.299985
-425.26636,94,34.331789
-583.0914,84,34.331789
-353.57037,39,34.377012
-583.45496,97,34.414975
-254.04318,31,34.446799
-494.46948,72,34.514401
-347.48663,43,34.543409
-172.61795,44,34.571004
-457.36282,84,34.607658
-1012.8117,83,34.655765
-273.39288,50,34.707128
-216.72177,56,34.737164
-314.65012,38,34.806951
-519.33575,94,34.837936
-320.07138,92,34.875741
-238.50583,58,34.907797
-496.46658,90,34.942764
-214.77972,34,34.975772
-177.05069,27,35.014521
-167.47475,52,35.050502
-234.95735,31,35.082206
-224.55676,55,35.117036
-178.40721,29,35.150852
-249.08281,26,35.200098
-289.9873,65,35.233336
-385.25684,72,35.289159
-353.8826,40,35.323374
-428.3964,87,35.368829
-264.3133,55,35.405614
-164.93181,45,35.450899
-228.899,52,35.518113
-180.66267,37,35.54584
-21010.318,1841,35.581096
-425.74344,66,35.581096
-583.29486,98,35.626416
-216.41597,27,35.656052
-339.6029,27,35.687857
-613.30237,184,35.734041
-428.93823,53,35.768265
-320.06778,28,35.768265
-383.53943,52,35.798015
-325.19864,54,35.8456
-484.89777,38,35.886623
-552.3882,60,35.913303
-251.74942,43,35.943004
-431.01312,61,35.993297
-226.50278,31,36.029475
-513.6481,22,36.073477
-290.71524,23,36.114745
-431.3874,69,36.142421
-306.16016,92,36.172406
-387.55554,23,36.211587
-368.44342,71,36.256077
-830.5341,73,36.256077
-231.32486,30,36.299362
-185.94296,36,36.329093
-335.25006,33,36.376231
-263.6674,33,36.420454
-237.35289,64,36.45629
-273.5964,31,36.494662
-403.278,83,36.545097
-517.3526,78,36.583224
-389.4628,38,36.61463
