Time,Roll,Pitch,Yaw,ErrR,ErrP,ErrY,TrqX,TrqY,TrqZ,VelX,VelY,VelZ
0.004,0.785,0.615,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.008,0.785,0.615,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.013,0.785,0.615,0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.017,0.785,0.615,-0.000,-0.000,-0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000
0.021,0.785,0.615,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000
0.025,0.785,0.615,-0.000,0.000,-0.000,0.000,-0.000,0.000,-0.000,0.000,0.000,-0.000
0.029,0.785,0.616,0.000,-0.001,-0.003,-0.001,0.000,0.000,0.000,0.004,-0.010,0.006
0.033,0.785,0.616,0.000,-0.002,-0.005,-0.001,0.000,0.000,0.000,12.438,26.514,7.186
0.037,0.785,0.616,0.000,-0.002,-0.006,-0.001,0.000,0.000,0.000,19.153,49.351,11.069
0.042,0.785,0.616,0.000,-0.001,-0.007,-0.001,-0.000,0.000,-0.000,22.206,70.453,12.847
0.046,0.785,0.616,0.000,-0.000,-0.008,-0.000,-0.000,0.000,-0.000,20.793,88.905,12.051
0.050,0.785,0.616,-0.000,0.001,-0.008,0.001,-0.000,0.000,-0.000,14.103,103.855,8.205
0.054,0.785,0.616,-0.000,0.003,-0.007,0.002,-0.000,0.000,-0.000,1.296,114.528,0.817
0.058,0.785,0.616,-0.000,0.005,-0.006,0.003,-0.000,0.000,-0.000,-18.534,120.235,-10.634
0.062,0.785,0.616,-0.000,0.008,-0.005,0.005,-0.001,-0.000,-0.000,-46.294,120.354,-26.678
0.067,0.785,0.616,-0.000,0.012,-0.003,0.007,-0.001,-0.000,-0.000,-82.712,114.317,-47.795
0.071,0.785,0.616,-0.000,0.015,-0.001,0.009,-0.001,-0.000,-0.000,-128.314,101.572,-74.403
0.075,0.785,0.615,-0.000,0.018,-0.000,0.011,-0.001,-0.000,-0.001,-176.696,90.947,-102.999
0.079,0.785,0.615,-0.000,0.022,-0.000,0.012,-0.001,-0.000,-0.001,-226.956,83.034,-133.254
0.083,0.785,0.615,-0.000,0.025,-0.000,0.014,-0.001,0.000,-0.001,-278.164,78.405,-164.816
